¿Cuál es la montaña más alta del mundo?,Everest,Makalu,Pico Orizaba,1
¿Cuál es el país más poblado del mundo?,Rusia,Indonesia,China,3
¿Cuál es la ciudad más poblada del mundo?,Ciudad de México,Tokio,Delhi,2
¿Cuántos países conforman el Reino Unido?,1,4,3,2
¿Entre cuáles países se encuentra el estrecho de Bering?,Francia e Inglaterra,Filandia y Suecia,Alaska Rusia,3
¿Cuál es la capital de Canadá?,Toronto,Ottawa,Quebec,2
¿Cuál es el río más largo del mundo?,Rio Congo,1Rio Amazonas,Rio Nilo,3
¿Qué pueblo polinésico encuentras en Isla de Pascua?,Samoanos,Rapa Nuis,Aniwas,2
¿Cuál es el cuerpo de agua más grande de la tierra?,Océano Pacifico,Oceano Indico,Oceano Atlantico,1
¿Cuál es el país más pequeño del mundo, medido en superficie total de éste?,Malvinas,Monaco,Vaticano,3
 
